"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 11 10:09:06 GMT 2025","Mon Aug 11 10:09:07 GMT 2025","585","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerAccessControlTest","com.spribe.api.tests.UpdatePlayerAccessControlTest","updateRoleAccessControlTest","updateRoleAccessControlTest",""
"passed","Mon Aug 11 10:09:06 GMT 2025","Mon Aug 11 10:09:06 GMT 2025","386","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerAccessControlTest","com.spribe.api.tests.UpdatePlayerAccessControlTest","updateRoleAccessControlTest","updateRoleAccessControlTest",""
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","211","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","196","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerTest","com.spribe.api.tests.CreatePlayerTest","createPlayerTest","createPlayerTest","Create Player test"
"passed","Mon Aug 11 10:09:06 GMT 2025","Mon Aug 11 10:09:06 GMT 2025","385","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerAccessControlTest","com.spribe.api.tests.UpdatePlayerAccessControlTest","updateRoleAccessControlTest","updateRoleAccessControlTest",""
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","202","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 10:08:56 GMT 2025","Mon Aug 11 10:08:58 GMT 2025","2317","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerTest","com.spribe.api.tests.UpdatePlayerTest","updatePlayerTest","updatePlayerTest",""
"passed","Mon Aug 11 10:08:56 GMT 2025","Mon Aug 11 10:08:58 GMT 2025","2157","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerAccessControlTest","com.spribe.api.tests.CreatePlayerAccessControlTest","createPlayerAccessControlTest","createPlayerAccessControlTest",""
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","204","API Test Suite","API Tests","com.spribe.api.tests.DeletePlayerNegativeTest","com.spribe.api.tests.DeletePlayerNegativeTest","deletePlayerNegativeTest","deletePlayerNegativeTest","Delete Player Negative test"
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","203","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 10:08:56 GMT 2025","Mon Aug 11 10:08:58 GMT 2025","2322","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerTest","com.spribe.api.tests.UpdatePlayerTest","updatePlayerTest","updatePlayerTest",""
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","194","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","210","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerTest","com.spribe.api.tests.CreatePlayerTest","createPlayerTest","createPlayerTest","Create Player test"
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","205","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 10:08:56 GMT 2025","Mon Aug 11 10:08:58 GMT 2025","2163","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerAccessControlTest","com.spribe.api.tests.CreatePlayerAccessControlTest","createPlayerAccessControlTest","createPlayerAccessControlTest",""
"passed","Mon Aug 11 10:08:56 GMT 2025","Mon Aug 11 10:08:58 GMT 2025","2141","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerAccessControlTest","com.spribe.api.tests.CreatePlayerAccessControlTest","createPlayerAccessControlTest","createPlayerAccessControlTest",""
"passed","Mon Aug 11 10:08:56 GMT 2025","Mon Aug 11 10:08:58 GMT 2025","1921","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerAccessControlTest","com.spribe.api.tests.CreatePlayerAccessControlTest","createPlayerAccessControlTest","createPlayerAccessControlTest",""
"passed","Mon Aug 11 10:09:02 GMT 2025","Mon Aug 11 10:09:03 GMT 2025","389","API Test Suite","API Tests","com.spribe.api.tests.GetPlayerTest","com.spribe.api.tests.GetPlayerTest","getUserPlayerTest","getUserPlayerTest","Get User Player test"
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","198","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"unknown","Mon Aug 11 10:08:55 GMT 2025","Mon Aug 11 10:08:55 GMT 2025","0","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerNegativeTest","com.spribe.api.tests.UpdatePlayerNegativeTest","updatePlayerWithDuplicateScreenNameTest","updatePlayerWithDuplicateScreenNameTest","Update player with duplicate screenName should return error"
"passed","Mon Aug 11 10:08:56 GMT 2025","Mon Aug 11 10:08:58 GMT 2025","2328","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerTest","com.spribe.api.tests.UpdatePlayerTest","updatePlayerTest","updatePlayerTest",""
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","200","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","192","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 10:08:56 GMT 2025","Mon Aug 11 10:08:58 GMT 2025","1922","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerAccessControlTest","com.spribe.api.tests.CreatePlayerAccessControlTest","createPlayerAccessControlTest","createPlayerAccessControlTest",""
"passed","Mon Aug 11 10:09:06 GMT 2025","Mon Aug 11 10:09:06 GMT 2025","378","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerAccessControlTest","com.spribe.api.tests.UpdatePlayerAccessControlTest","updateRoleAccessControlTest","updateRoleAccessControlTest",""
"passed","Mon Aug 11 10:08:56 GMT 2025","Mon Aug 11 10:08:58 GMT 2025","2307","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerTest","com.spribe.api.tests.UpdatePlayerTest","updatePlayerTest","updatePlayerTest",""
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","205","API Test Suite","API Tests","com.spribe.api.tests.DeletePlayerNegativeTest","com.spribe.api.tests.DeletePlayerNegativeTest","deletePlayerNegativeTest","deletePlayerNegativeTest","Delete Player Negative test"
"passed","Mon Aug 11 10:09:06 GMT 2025","Mon Aug 11 10:09:06 GMT 2025","196","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerAccessControlTest","com.spribe.api.tests.UpdatePlayerAccessControlTest","updateRoleAccessControlTest","updateRoleAccessControlTest",""
"unknown","Mon Aug 11 10:08:55 GMT 2025","Mon Aug 11 10:08:55 GMT 2025","0","API Test Suite","API Tests","com.spribe.api.tests.GetPlayerNegativeTest","com.spribe.api.tests.GetPlayerNegativeTest","getPlayerNegativeTest","getPlayerNegativeTest","Get Player Negative test"
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:01 GMT 2025","300","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerWrongEditorTest","createPlayerWrongEditorTest","Create Player with invalid editor"
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","406","API Test Suite","API Tests","com.spribe.api.tests.DeletePlayerAccessControlTest","com.spribe.api.tests.DeletePlayerAccessControlTest","deletePlayerAccessControlTest","deletePlayerAccessControlTest",""
"unknown","Mon Aug 11 10:08:55 GMT 2025","Mon Aug 11 10:08:55 GMT 2025","0","API Test Suite","API Tests","com.spribe.api.tests.DeletePlayerNegativeTest","com.spribe.api.tests.DeletePlayerNegativeTest","deletePlayerEditorNegativeTest","deletePlayerEditorNegativeTest","Delete Player Negative test"
"passed","Mon Aug 11 10:09:00 GMT 2025","Mon Aug 11 10:09:00 GMT 2025","224","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerTest","com.spribe.api.tests.CreatePlayerTest","createPlayerTest","createPlayerTest","Create Player test"
"passed","Mon Aug 11 10:09:06 GMT 2025","Mon Aug 11 10:09:07 GMT 2025","592","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerAccessControlTest","com.spribe.api.tests.UpdatePlayerAccessControlTest","updateRoleAccessControlTest","updateRoleAccessControlTest",""
