"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 11 08:52:35 UTC 2025","Mon Aug 11 08:52:35 UTC 2025","243","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 08:52:38 UTC 2025","Mon Aug 11 08:52:40 UTC 2025","1662","API Test Suite","API Tests","com.spribe.api.tests.GetAllPlayersTest","com.spribe.api.tests.GetAllPlayersTest","getAllPlayersTest","getAllPlayersTest","Get All Players test"
"passed","Mon Aug 11 08:52:41 UTC 2025","Mon Aug 11 08:52:42 UTC 2025","462","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerAccessControlTest","com.spribe.api.tests.UpdatePlayerAccessControlTest","updateRoleAccessControlTest","updateRoleAccessControlTest",""
"passed","Mon Aug 11 08:52:35 UTC 2025","Mon Aug 11 08:52:35 UTC 2025","711","API Test Suite","API Tests","com.spribe.api.tests.DeletePlayerAccessControlTest","com.spribe.api.tests.DeletePlayerAccessControlTest","deletePlayerAccessControlTest","deletePlayerAccessControlTest",""
"unknown","Mon Aug 11 08:52:29 UTC 2025","Mon Aug 11 08:52:29 UTC 2025","0","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerExistingScreenNameTest","createPlayerExistingScreenNameTest","Create Player with existing screen name should fail"
"passed","Mon Aug 11 08:52:30 UTC 2025","Mon Aug 11 08:52:33 UTC 2025","2601","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerTest","com.spribe.api.tests.UpdatePlayerTest","updatePlayerTest","updatePlayerTest",""
"passed","Mon Aug 11 08:52:37 UTC 2025","Mon Aug 11 08:52:37 UTC 2025","460","API Test Suite","API Tests","com.spribe.api.tests.GetPlayerTest","com.spribe.api.tests.GetPlayerTest","getAdminPlayerTest","getAdminPlayerTest","Get Admin Player test"
"passed","Mon Aug 11 08:52:35 UTC 2025","Mon Aug 11 08:52:35 UTC 2025","229","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 08:52:30 UTC 2025","Mon Aug 11 08:52:33 UTC 2025","2578","API Test Suite","API Tests","com.spribe.api.tests.UpdatePlayerTest","com.spribe.api.tests.UpdatePlayerTest","updatePlayerTest","updatePlayerTest",""
"passed","Mon Aug 11 08:52:35 UTC 2025","Mon Aug 11 08:52:35 UTC 2025","468","API Test Suite","API Tests","com.spribe.api.tests.DeletePlayerAccessControlTest","com.spribe.api.tests.DeletePlayerAccessControlTest","deletePlayerAccessControlTest","deletePlayerAccessControlTest",""
"passed","Mon Aug 11 08:52:35 UTC 2025","Mon Aug 11 08:52:35 UTC 2025","235","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 08:52:35 UTC 2025","Mon Aug 11 08:52:35 UTC 2025","243","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
"passed","Mon Aug 11 08:52:35 UTC 2025","Mon Aug 11 08:52:35 UTC 2025","236","API Test Suite","API Tests","com.spribe.api.tests.CreatePlayerNegativeTest","com.spribe.api.tests.CreatePlayerNegativeTest","createPlayerTest","createPlayerTest","Create Player negative test - invalid or missing fields"
